z=1	z=5	z=10	z=20	z=30	z=60	
5015.148894247883	6948.898905955246	7376.075757844478	7645.188297623841	9062.963674134604	12804.009938320009	
5058.732206657448	7030.26321866888	7410.0543340251315	7684.437007405753	9130.034093982305	12944.387041659465	
5102.32828057943	7111.776454620401	7444.0089767687505	7723.625231245646	9197.100609265037	13084.900723038563	
5145.794216726697	7193.224540637134	7477.98152532756	7762.8590852396665	9264.231019055864	13225.34970790658	
5189.218987307818	7274.59338046986	7511.963153999244	7802.133654369019	9331.345459469969	13365.777666106318	
5232.563096761708	7355.824144294892	7545.941354986793	7841.357957226083	9398.372025740267	13506.10928339543	
5275.972484207302	7437.276397166337	7579.911369062161	7880.605904789897	9465.4186132395	13646.564484554643	
5319.5042668214055	7518.718179971569	7613.874848602125	7919.831151542493	9532.51179878564	13786.919440633621	
5362.933760373618	7599.949397244329	7647.82587790394	7959.056179691703	9599.574005544542	13927.322577010427	
5406.46784542542	7634.0083126972595	7681.785829890136	7998.305721655792	9666.667973612333	14067.868093673	
5449.984958837667	7667.17761590355	7715.7402853509875	8037.480502826331	9733.674684956379	14208.283105068589	
5493.392255770795	7700.349618498189	7749.696417636759	8076.760373997842	9800.743896077844	14348.667895998624	
5536.880169617078	7733.532316559749	7783.67260684752	8116.027474066095	9867.825191447968	14489.036190701814	
5580.310812336576	7766.7027112670685	7817.641254659397	8155.2820267180705	9934.889257180674	14629.488196216445	
5623.92921093186	7799.8756522659	7851.607760219468	8194.570835561128	10001.944079069093	14769.927634815132	
5667.302290220763	7833.04505230832	7885.580175789198	8233.795460915615	10068.996343012679	14910.375153075962	
5710.661732022755	7866.209153051831	7919.528827636331	8273.04760640593	10136.061111641713	15050.68816698208	
5754.129993730331	7899.388489465345	7953.50996541436	8312.311530253914	10203.20297910792	15191.222128752504	
5797.596146688645	7932.564992012098	7987.492217777137	8351.530081966826	10270.215333584421	15331.517994080754	
5841.099466392988	7965.728954180415	8021.465642106293	8390.80307086507	10337.310620054188	15472.094782318782	
5884.6234427248755	7998.8959120912095	8055.411525229032	8430.003948403306	10404.40674318032	15612.54906145655	
5928.076159628747	8032.071347531086	8089.389554360817	8469.19641088479	10471.450510813538	15752.785772067762	
5971.618933828887	8065.23672848677	8123.35553625008	8508.411147921466	10538.566927420463	15893.228623525172	
6015.114647236248	8098.405028202264	8157.3097896496065	8547.635866200455	10605.561716267466	16033.671966166841	
6058.624321450791	8131.580453483236	8191.285780037844	8586.875005548289	10672.720520459197	16174.158587207317	
6101.996911230033	8164.760650495404	8225.282705196038	8626.117785661594	10739.776511306163	16314.50644629209	
6145.505542267953	8197.922133154392	8259.23860764971	8665.307922479382	10806.72264020241	16454.974215824233	
6189.032797825227	8231.094527039577	8293.191745441747	8704.516094254574	10873.756683127525	16595.424598086138	
6232.645849384594	8264.26337084225	8327.169596981055	8743.796308407997	10940.832256598651	16735.879667489677	
6276.091394105955	8297.44635347985	8361.160139722711	8783.142068022049	11007.806077341213	16876.267938877558	
6319.715297743024	8330.611876854346	8395.12977851735	8822.385114374818	11074.93287646517	17016.744503595426	
6363.214715101889	8363.775594852152	8429.08743503401	8861.59659896133	11141.993857408543	17157.05602291888	
6406.728347874053	8396.94876683138	8463.059204995881	8900.840587362527	11209.042565407544	17297.434856481985	
6450.258994488896	8430.118730304977	8497.028454930982	8940.097413859987	11276.083918857652	17437.847309638117	
6493.797166494755	8463.284060074142	8531.014798935405	8979.358603724026	11343.199405514932	17578.168428910285	
6537.325140414337	8496.454671664751	8564.972845230583	9018.559761874974	11410.227628955095	17718.45569024698	
6580.8557145134455	8529.622055440392	8598.936829575849	9057.757128104427	11477.199203796297	17858.654873863514	
6624.392281426789	8562.788449467136	8632.890167761097	9097.002168261293	11544.332472070366	17998.928877728446	
